,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
600,6,7.22,大分,名古屋,0,3,H,47,62,5.3%,5,0.0%,53.0%,11.8,10.8,73.38,8.0,A,38,53,11.1%,10,30.0%,47.0%,12.94,10.99,63.42,15.03
8,6,7.22,札幌,FC東京,1,1,H,45,55,8.6%,10,10.0%,48.0%,15.11,10.78,105.26,12.52,A,45,55,11.8%,14,7.1%,52.0%,13.74,11.78,102.85,13.88
108,6,7.22,浦和,柏,0,4,H,53,67,13.0%,17,0.0%,55.6%,20.38,19.41,97.12,8.14,A,33,47,8.1%,10,40.0%,44.4%,8.88,7.82,87.55,20.47
310,6,7.22,湘南,鹿島,1,0,H,42,47,8.3%,10,10.0%,39.2%,8.51,6.51,97.0,19.66,A,53,58,13.5%,17,0.0%,60.8%,22.62,17.08,88.78,9.42
252,6,7.22,横浜FM,横浜FC,4,0,H,56,51,15.1%,19,15.8%,53.1%,19.75,17.2,97.21,18.29,A,49,44,8.8%,12,0.0%,46.9%,11.62,9.97,112.94,15.37
468,6,7.22,Ｃ大阪,神戸,0,0,H,39,52,14.3%,12,0.0%,51.4%,13.78,11.23,45.71,11.14,A,48,61,10.3%,8,0.0%,48.6%,14.43,12.53,59.42,9.26
436,6,7.22,Ｇ大阪,広島,1,0,H,54,35,13.5%,14,7.1%,45.1%,17.6,15.9,86.61,20.13,A,65,46,18.5%,20,0.0%,54.9%,24.83,20.39,75.89,14.98
44,6,7.22,仙台,川崎Ｆ,2,3,H,44,36,11.0%,11,18.2%,39.4%,10.16,8.8,59.86,15.73,A,64,56,21.2%,22,13.6%,60.6%,22.06,19.09,94.08,7.21
564,6,7.22,鳥栖,清水,1,1,H,60,50,16.3%,16,6.3%,55.8%,18.01,12.52,86.94,10.14,A,50,40,14.1%,13,7.7%,44.2%,14.63,12.57,50.93,17.93
12,7,7.26,札幌,横浜FM,3,1,H,48,52,11.8%,15,20.0%,38.1%,11.9,9.46,124.57,13.42,A,48,52,8.9%,11,9.1%,61.9%,18.48,16.48,71.92,10.61
138,7,7.26,柏,仙台,5,1,H,54,54,14.7%,16,31.3%,49.5%,15.79,13.2,102.43,14.91,A,46,46,12.0%,14,7.1%,50.5%,16.65,10.94,62.64,14.11
570,7,7.26,鳥栖,Ｃ大阪,1,1,H,59,55,17.2%,15,6.7%,45.8%,13.55,10.75,52.37,12.67,A,45,41,16.0%,13,7.7%,54.2%,17.99,12.94,48.2,13.94
500,7,7.26,神戸,Ｇ大阪,0,2,H,45,49,12.0%,14,0.0%,62.5%,20.19,18.43,85.7,9.33,A,51,55,10.5%,11,18.2%,37.5%,10.8,10.42,85.57,13.31
278,7,7.26,横浜FC,浦和,0,2,H,59,43,15.6%,15,0.0%,54.2%,18.77,15.33,56.56,13.3,A,57,41,13.3%,13,15.4%,45.8%,14.2,11.96,77.09,12.63
220,7,7.26,川崎Ｆ,湘南,3,1,H,70,71,26.4%,29,10.3%,58.4%,33.14,26.25,94.64,8.04,A,29,30,4.9%,5,20.0%,41.6%,9.75,8.68,81.76,16.1
532,7,11.11,広島,名古屋,2,0,H,52,66,10.1%,11,18.2%,36.3%,9.59,8.69,93.2,12.86,A,34,48,2.6%,3,0.0%,63.7%,15.85,15.72,83.26,13.78
76,7,7.26,鹿島,FC東京,2,2,H,60,39,18.7%,23,8.7%,50.9%,19.07,14.2,75.33,13.31,A,61,40,13.0%,16,12.5%,49.1%,14.85,11.15,95.95,13.44
372,7,7.26,清水,大分,4,2,H,56,67,18.2%,22,18.2%,53.0%,17.9,16.1,98.02,11.51,A,33,44,3.8%,4,50.0%,47.0%,11.93,9.34,83.83,15.11
300,8,8.1,横浜FC,広島,0,2,H,47,41,6.9%,7,0.0%,51.1%,13.14,11.79,66.98,13.5,A,59,53,13.0%,14,14.3%,48.9%,18.03,15.81,78.47,13.73
26,8,8.2,札幌,神戸,2,3,H,56,62,15.8%,16,12.5%,50.2%,21.51,15.85,74.22,8.92,A,38,44,12.0%,13,23.1%,49.8%,14.4,13.11,71.09,17.68
330,8,8.1,湘南,Ｃ大阪,0,1,H,48,51,4.5%,4,0.0%,48.0%,13.51,10.74,60.5,13.7,A,49,52,13.6%,14,7.1%,52.0%,18.03,14.24,57.21,13.79
420,8,8.1,Ｇ大阪,川崎Ｆ,0,1,H,51,42,13.0%,14,0.0%,53.1%,18.22,15.95,67.59,14.27,A,58,49,15.7%,16,6.3%,46.9%,18.71,17.29,90.31,14.39
382,8,8.1,名古屋,柏,0,1,H,48,62,9.5%,12,0.0%,49.8%,12.44,10.55,75.97,11.95,A,38,52,6.5%,7,14.3%,50.2%,10.93,10.53,69.07,10.56
